title,company,location,semantic_similarity,first_seen_date,url
Jefe/a Departamento de Ventas FT 42 hrs Hc Estacion Central,Sodimac,"Estación Central, Metropolitana, Chile",0.3599,2026-08-07,https://falabella.airavirtual.com/postula/s5x8wg26Ip16exlZM2Z5?logged_action=apply&register=true
"Prevencionista de Riesgos Quilicura/ Huechuraba, FT, Tottus.",Tottus,"Quilicura, Metropolitana, Chile",0.3479,2026-08-07,https://falabella.airavirtual.com/postula/DQPinY3MA5DFaY19iNEx?logged_action=apply&register=true
Químico Farmacéutico Ovalle,Farmacias Ahumada S.A.,"Ovalle, Coquimbo",0.3446,2026-08-07,https://ahumada.trabajando.cl/trabajo-empleo/quimico-farmaceutico-ovalle/trabajo/6110024
Crew Local Heladería - Temuco,Bresler,"Temuco, La Araucanía",0.341,2026-08-07,https://carozzi.trabajando.cl/trabajo-empleo/crew-local-heladeria-temuco/trabajo/6110149
"Jefe/a Depto Ventas, Full Time, Sodimac Ovalle",Sodimac,"Ovalle, Coquimbo, Chile",0.3361,2026-08-07,https://falabella.airavirtual.com/postula/jFXkAY1u9K9xt3ny8rnW?logged_action=apply&register=true
Asesor/a Bienestar Vitaminas y Suplementos Multifunción - La Florida ,Salcobrand,"La Florida, Metropolitana de Santiago",0.3349,2026-08-07,https://salcobrand.trabajando.cl/trabajo-empleo/asesor-a-bienestar-vitaminas-y-suplementos-multifuncion-la-florida/trabajo/6110367
Crew Local Heladería - Curicó,Bresler,"Santiago, Metropolitana de Santiago",0.3319,2026-08-07,https://carozzi.trabajando.cl/trabajo-empleo/crew-local-heladeria-curico/trabajo/6110241
Operativo Tienda Sodimac HC El Bosque Jornada PT20 hrs,Sodimac,"El Bosque, Metropolitana, Chile",0.3319,2026-08-07,https://falabella.airavirtual.com/postula/Cpoe1LESqqGsCjGzqlPh?logged_action=apply&register=true
Prevencionista de Riesgos - Unimarc Puerto Montt,Unimarc,"Puerto Montt, Los Lagos",0.3319,2026-08-07,https://smu.trabajando.cl/trabajo-empleo/prevencionista-de-riesgos-unimarc-puerto-montt/trabajo/6110275
Operativo Tienda Sodimac HC El Bosque Jornada PT25 hrs,Sodimac,"El Bosque, Metropolitana, Chile",0.3301,2026-08-07,https://falabella.airavirtual.com/postula/8kTMgTwwO8cPP2kBvu6g?logged_action=apply&register=true
Product Manager Medios Loyalty,cencosud,"Santiago, REGION METROPOLITANA, CL",0.3273,2026-08-07,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14762?c=cencosud
Jefe de Bodega,Empresas Carozzi S.A.,"Sagrada Familia, Maule",0.3256,2026-08-07,https://carozzi.trabajando.cl/trabajo-empleo/jefe-de-bodega/trabajo/6110377
Crew Local Heladería - Rancagua,Bresler,"Rancagua, Lib. Gral. Bdo. O'Higgins",0.3145,2026-08-07,https://carozzi.trabajando.cl/trabajo-empleo/crew-local-heladeria-rancagua/trabajo/6110242
"JEFE/A PREVENCIÓN DE PÉRDIDAS, FT 42HRS, SHC VALDIVIA",Sodimac,"Valdivia, Los Ríos, Chile",0.3119,2026-08-07,https://falabella.airavirtual.com/postula/2mkebricQcHhr2Pg6Y5R?logged_action=apply&register=true
Jefe Prevención de Perdidas Tottus Balmaceda La Serena,Tottus,"La Serena, Coquimbo, Chile",0.3107,2026-08-07,https://falabella.airavirtual.com/postula/T3njJNZsMP0yjULVBQIX?logged_action=apply&register=true
Trabajador/a Social,Empresas SB,"Providencia, Metropolitana de Santiago",0.308,2026-08-07,https://salcobrand.trabajando.cl/trabajo-empleo/trabajador-a-social/trabajo/6110225
Ingeniero de Procesos Planta Mascota,Empresas Carozzi S.A.,"Sagrada Familia, Maule",0.3012,2026-08-07,https://carozzi.trabajando.cl/trabajo-empleo/ingeniero-de-procesos-planta-mascota/trabajo/6110120
SkinExpert Belleza 30 hrs Part Time - Preunic Viña del Mar,Preunic,"Viña del Mar, Valparaíso",0.2997,2026-08-07,https://salcobrand.trabajando.cl/trabajo-empleo/skinexpert-belleza-30-hrs-part-time-preunic-vina-del-mar/trabajo/6110343
Dermoconsejero/a Multifunción Full Time - Chicureo/ Colina (Lic Prolongada) ,Salcobrand,"Colina, Metropolitana de Santiago",0.2899,2026-08-07,https://salcobrand.trabajando.cl/trabajo-empleo/dermoconsejero-a-multifuncion-full-time-chicureo-colina-lic-prolongada/trabajo/6110387
SkinExpert Belleza 30 hrs Part Time - Preunic Los Ángeles,Preunic,"Los Ángeles, Biobío",0.2806,2026-08-07,https://salcobrand.trabajando.cl/trabajo-empleo/skinexpert-belleza-30-hrs-part-time-preunic-los-angeles/trabajo/6110344
Asistente de Ventas - JJO Costanera Center,cencosud,"Santiago, REGION METROPOLITANA, CL",0.2796,2026-08-07,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14763?c=cencosud
Asistente de Ventas -Hunter Galeria- Alto Las Condes,cencosud,"Santiago, REGION METROPOLITANA, CL",0.269,2026-08-07,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14765?c=cencosud
Asistente de Ventas - Corzo Galeria Alto Las Condes,cencosud,"Santiago, REGION METROPOLITANA, CL",0.2671,2026-08-07,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14764?c=cencosud
Jefe de Tienda | Hunter Galería Alto las Condes,cencosud,"Santiago, REGION METROPOLITANA, CL",0.2627,2026-08-07,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14768?c=cencosud
Jefe de Tienda | Corzo Galería Alto Las Condes,cencosud,"Santiago, REGION METROPOLITANA, CL",0.2622,2026-08-07,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14767?c=cencosud
Asistente de Ventas - All Saints Galeria Alto las Condes,cencosud,"Santiago, REGION METROPOLITANA, CL",0.2612,2026-08-07,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14766?c=cencosud
